row_id,gap_id,latitude,longitude,area_pixels,area_sqm,width_m,height_m,google_maps_link
1,1,46.18362031,23.86001995,22.0,1.0,0.9,1.1,https://maps.google.com/?q=46.183620,23.860020
1,2,46.18360135,23.86004324,23.0,1.1,1.0,1.2,https://maps.google.com/?q=46.183601,23.860043
2,1,46.18382075,23.85980619,26.0,1.3,1.1,1.2,https://maps.google.com/?q=46.183821,23.859806
2,2,46.18376198,23.85988073,26.0,1.4,1.1,1.3,https://maps.google.com/?q=46.183762,23.859881
2,3,46.18374038,23.85990813,32.0,2.1,1.4,1.5,https://maps.google.com/?q=46.183740,23.859908
2,4,46.18371966,23.85993444,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183720,23.859934
3,1,46.18374973,23.85993746,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183750,23.859937
3,2,46.18372101,23.85997336,28.0,1.6,1.2,1.3,https://maps.google.com/?q=46.183721,23.859973
5,1,46.18391049,23.85981386,18.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183910,23.859814
5,2,46.18389904,23.85982811,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183899,23.859828
5,3,46.18387350,23.85985990,18.0,0.6,0.8,0.9,https://maps.google.com/?q=46.183873,23.859860
5,4,46.18385144,23.85988731,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183851,23.859887
5,5,46.18377382,23.85998377,36.0,2.7,1.5,1.8,https://maps.google.com/?q=46.183774,23.859984
5,6,46.18374534,23.86001912,19.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183745,23.860019
5,7,46.18369820,23.86007777,27.0,1.5,1.1,1.3,https://maps.google.com/?q=46.183698,23.860078
6,1,46.18394091,23.85981030,35.0,2.5,1.5,1.7,https://maps.google.com/?q=46.183941,23.859810
6,2,46.18386231,23.85990868,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183862,23.859909
6,3,46.18384302,23.85993280,26.0,1.4,1.1,1.3,https://maps.google.com/?q=46.183843,23.859933
6,4,46.18383227,23.85994623,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183832,23.859946
6,5,46.18376728,23.86002762,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183767,23.860028
8,1,46.18388357,23.85995692,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183884,23.859957
8,2,46.18374403,23.86013121,28.0,1.6,1.2,1.3,https://maps.google.com/?q=46.183744,23.860131
9,1,46.18399902,23.85984949,22.0,1.0,0.9,1.1,https://maps.google.com/?q=46.183999,23.859849
9,2,46.18386723,23.86001584,29.0,1.7,1.2,1.4,https://maps.google.com/?q=46.183867,23.860016
9,3,46.18383443,23.86005722,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183834,23.860057
14,1,46.18403582,23.85999336,27.0,1.5,1.1,1.3,https://maps.google.com/?q=46.184036,23.859993
14,2,46.18397424,23.86007010,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183974,23.860070
14,3,46.18395660,23.86009202,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183957,23.860092
14,4,46.18394317,23.86010874,22.0,1.0,0.9,1.1,https://maps.google.com/?q=46.183943,23.860109
14,5,46.18389980,23.86016273,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183900,23.860163
14,6,46.18386787,23.86020246,26.0,1.4,1.1,1.3,https://maps.google.com/?q=46.183868,23.860202
14,7,46.18384649,23.86022905,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183846,23.860229
15,1,46.18387261,23.86023590,20.0,0.9,0.8,1.0,https://maps.google.com/?q=46.183873,23.860236
16,1,46.18407059,23.86002406,19.0,0.7,0.8,0.9,https://maps.google.com/?q=46.184071,23.860024
16,2,46.18400776,23.86010216,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.184008,23.860102
16,3,46.18391295,23.86022000,22.0,1.0,0.9,1.1,https://maps.google.com/?q=46.183913,23.860220
17,1,46.18403398,23.86010709,46.0,4.5,1.9,2.3,https://maps.google.com/?q=46.184034,23.860107
17,2,46.18397443,23.86018026,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183974,23.860180
17,3,46.18389531,23.86027947,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183895,23.860279
17,4,46.18380838,23.86038854,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183808,23.860389
18,1,46.18411247,23.86004845,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.184112,23.860048
18,2,46.18397894,23.86021233,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183979,23.860212
19,1,46.18406475,23.86014464,27.0,1.5,1.1,1.3,https://maps.google.com/?q=46.184065,23.860145
19,2,46.18400382,23.86022055,26.0,1.4,1.1,1.3,https://maps.google.com/?q=46.184004,23.860221
19,3,46.18383601,23.86043020,19.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183836,23.860430
20,1,46.18413771,23.86009092,39.0,3.2,1.6,2.0,https://maps.google.com/?q=46.184138,23.860091
20,2,46.18397175,23.86029728,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183972,23.860297
22,1,46.18414885,23.86015313,28.0,1.7,1.2,1.4,https://maps.google.com/?q=46.184149,23.860153
22,2,46.18413800,23.86016684,20.0,0.8,0.8,1.0,https://maps.google.com/?q=46.184138,23.860167
22,3,46.18396530,23.86038443,18.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183965,23.860384
